City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Atuona,PF,2022-04-21 15:55:21,-9.8,-139.0333,79.05,81,17,17.72
121,Copiapo,CL,2022-04-21 15:55:21,-27.3667,-70.3333,58.69,33,0,7.07
122,Jamestown,US,2022-04-21 15:55:03,42.097,-79.2353,50.02,76,100,16.11
123,Touros,BR,2022-04-21 15:55:22,-5.1989,-35.4608,86.74,63,78,14.32
124,Kapaa,US,2022-04-21 15:55:23,22.0752,-159.319,71.92,97,100,16.11
125,Hualmay,PE,2022-04-21 15:55:23,-11.0964,-77.6139,72.27,74,100,10.22
126,Lumeje,AO,2022-04-21 15:55:23,-11.55,20.7833,72.64,63,90,3.18
127,Kutum,SD,2022-04-21 15:55:24,14.2,24.6667,91.69,11,53,7.83
128,Puro,PH,2022-04-21 15:55:24,12.4841,123.3827,80.26,86,6,9.6
129,Kaitangata,NZ,2022-04-21 15:55:25,-46.2817,169.8464,47.12,94,99,17.54
130,Tsagan Aman,RU,2022-04-21 15:55:25,47.5639,46.7218,61.27,33,8,8.9
131,Nizwa,OM,2022-04-21 15:55:23,22.9333,57.5333,85.93,12,0,4.34
132,Morehead,US,2022-04-21 15:55:25,37.2711,-87.1764,64.78,67,100,8.05
133,Nicoya,CR,2022-04-21 15:55:26,10.1483,-85.452,90.82,39,34,4.41
134,Llangefni,GB,2022-04-21 15:55:26,53.2556,-4.3106,61.66,51,75,16.11
135,Sept-Iles,CA,2022-04-21 15:51:58,50.2001,-66.3821,39.63,44,20,9.22
136,Ilhabela,BR,2022-04-21 15:55:27,-23.7781,-45.3581,75.06,74,15,5.32
137,San Quintin,MX,2022-04-21 15:56:27,30.4833,-115.95,61.81,72,1,15.52
138,Sukhobezvodnoye,RU,2022-04-21 15:56:27,57.0491,44.8891,43.25,64,2,6.76
139,Atar,MR,2022-04-21 15:56:28,20.5169,-13.0499,96.85,21,1,9.22
140,Isangel,VU,2022-04-21 15:56:28,-19.55,169.2667,76.51,85,7,7.11
141,Saldanha,ZA,2022-04-21 15:52:43,-33.0117,17.9442,68.05,86,32,13.69
142,Ayan,RU,2022-04-21 15:56:29,56.45,138.1667,21.76,89,25,5.12
143,Mehamn,NO,2022-04-21 15:56:29,71.0357,27.8492,39.15,87,75,18.41
144,Miranda,CO,2022-04-21 15:56:29,3.2499,-76.2281,73.53,67,97,4.41
145,Port Moresby,PG,2022-04-21 15:56:30,-9.4431,147.1797,76.42,88,40,5.75
146,Esperance,AU,2022-04-21 15:56:30,-33.8667,121.9,55.24,73,44,8.48
147,Perene,PE,2022-04-21 15:56:30,-10.9492,-75.2261,86.02,51,44,4.34
148,Houma,US,2022-04-21 15:56:31,29.5958,-90.7195,81.0,74,40,17.27
149,Butaritari,KI,2022-04-21 15:56:31,3.0707,172.7902,80.65,82,100,12.35
150,Puerto Leguizamo,CO,2022-04-21 15:56:26,-0.1934,-74.7819,78.64,81,99,1.63
151,Ercis,TR,2022-04-21 15:56:32,39.0287,43.3586,51.21,52,0,2.51
152,Sao Felix Do Xingu,BR,2022-04-21 15:56:32,-6.6447,-51.995,81.07,87,97,1.05
153,Lata,PT,2022-04-21 15:56:32,40.1629,-8.3327,61.07,59,100,11.21
154,Port Elizabeth,ZA,2022-04-21 15:54:21,-33.918,25.5701,70.32,70,0,17.27
155,Saint Marys,US,2022-04-21 15:54:05,30.7305,-81.5465,76.12,57,100,12.66
156,Lagoa,PT,2022-04-21 15:56:33,39.05,-27.9833,57.07,67,99,20.78
157,Nanortalik,GL,2022-04-21 15:56:33,60.1432,-45.2371,39.0,68,100,24.92
158,Wawa,NG,2022-04-21 15:56:34,9.9022,4.4192,93.9,41,99,7.2
159,Ribeira Grande,PT,2022-04-21 15:56:34,38.5167,-28.7,63.0,55,20,16.11
160,Vrangel,RU,2022-04-21 15:56:34,42.7297,133.0839,47.08,71,75,5.84
161,Rio Grande,BR,2022-04-21 15:56:34,-32.035,-52.0986,78.91,58,89,4.7
162,Miyako,JP,2022-04-21 15:56:35,39.6367,141.9525,52.93,96,100,8.39
163,Port Hardy,CA,2022-04-21 15:56:35,50.6996,-127.4199,46.4,87,75,4.61
164,Lock Haven,US,2022-04-21 15:56:36,41.137,-77.4469,54.97,76,95,8.41
165,Dubbo,AU,2022-04-21 15:56:36,-32.25,148.6167,55.53,82,100,12.66
166,Lunca Ilvei,RO,2022-04-21 15:56:36,47.3667,24.9833,45.88,76,100,6.26
167,Marawi,PH,2022-04-21 15:56:37,7.9986,124.2928,69.57,94,100,1.74
168,Parsabad,IR,2022-04-21 15:56:37,39.6482,47.9174,62.92,63,0,18.41
169,Pizarro,CO,2022-04-21 15:56:38,4.9533,-77.366,83.28,69,62,1.77
170,Adrar,MR,2022-04-21 15:56:38,20.5022,-10.0711,91.15,8,51,15.52
171,Pisco,PE,2022-04-21 15:56:39,-13.7,-76.2167,69.85,73,0,8.05
172,Livny,RU,2022-04-21 15:56:39,52.4253,37.6069,50.83,61,90,6.53
173,Thompson,CA,2022-04-21 15:55:18,55.7435,-97.8558,26.76,43,0,5.75
174,Alice Springs,AU,2022-04-21 15:56:39,-23.7,133.8833,53.15,43,4,6.91
175,Kloulklubed,PW,2022-04-21 15:56:40,7.0419,134.2556,77.5,80,100,20.33
176,Carutapera,BR,2022-04-21 15:56:40,-1.195,-46.02,85.33,67,43,7.4
177,Nioaque,BR,2022-04-21 15:56:40,-21.1353,-55.83,92.86,29,23,5.66
178,Luba,GQ,2022-04-21 15:56:41,3.4568,8.5547,82.54,81,98,6.67
179,Makakilo City,US,2022-04-21 15:56:41,21.3469,-158.0858,69.69,83,93,13.91
180,Riyadh,SA,2022-04-21 15:56:41,24.6877,46.7219,98.74,20,94,24.61
181,Kahului,US,2022-04-21 15:56:24,20.8947,-156.47,72.84,92,99,10.0
182,Vardo,NO,2022-04-21 15:56:42,70.3705,31.1107,37.38,87,75,9.22
183,Hailar,CN,2022-04-21 15:56:42,49.2,119.7,36.82,27,24,11.12
184,Dukat,RU,2022-04-21 15:56:43,62.55,155.55,-2.29,100,84,3.04
185,Grindavik,IS,2022-04-21 15:55:16,63.8424,-22.4338,52.27,76,75,19.57
186,Hammerfest,NO,2022-04-21 15:57:43,70.6634,23.6821,37.85,100,75,11.5
187,Chistogorskiy,RU,2022-04-21 15:57:43,53.9835,87.3843,40.28,98,100,2.68
188,Casimiro De Abreu,BR,2022-04-21 15:53:56,-22.4806,-42.2042,82.18,63,42,2.66
189,Tulum,MX,2022-04-21 15:57:44,20.2167,-87.4667,83.32,62,4,10.6
190,Cairns,AU,2022-04-21 15:57:44,-16.9167,145.7667,77.07,97,75,6.91
191,Lasa,IT,2022-04-21 15:57:44,46.6166,10.7002,54.7,88,100,3.71
192,Naples,IT,2022-04-21 15:56:00,40.8333,14.25,72.61,54,40,5.75
193,Ponneri,IN,2022-04-21 15:57:45,13.3167,80.2,85.98,77,23,11.36
194,Xining,CN,2022-04-21 15:57:45,36.6167,101.7667,49.53,21,100,11.36
195,San Francisco,US,2022-04-21 15:57:38,37.7749,-122.4194,57.11,90,100,8.01
196,Vestmanna,FO,2022-04-21 15:57:46,62.1564,-7.1664,50.92,62,45,9.22
197,Kurilsk,RU,2022-04-21 15:57:46,45.2333,147.8833,45.05,64,3,4.32
198,Shwebo,MM,2022-04-21 15:57:47,22.5667,95.7,85.24,41,20,6.71
199,Port Hawkesbury,CA,2022-04-21 15:57:47,45.6169,-61.3485,48.88,62,0,12.66
200,Loudi,CN,2022-04-21 15:57:48,27.7344,111.9944,68.34,83,100,3.62
201,Kyra,RU,2022-04-21 15:57:48,49.5776,111.9753,36.07,45,95,2.04
202,Tongling,CN,2022-04-21 15:57:48,30.95,117.7833,65.73,75,56,5.39
203,Kondoa,TZ,2022-04-21 15:57:49,-4.9,35.7833,68.27,71,100,4.14
204,Klaksvik,FO,2022-04-21 15:57:49,62.2266,-6.589,52.72,94,39,14.32
205,Westport,US,2022-04-21 15:57:50,41.1415,-73.3579,60.3,52,0,11.5
206,Aksehir,TR,2022-04-21 15:57:50,38.3575,31.4164,58.48,44,26,2.66
207,Te Anau,NZ,2022-04-21 15:56:41,-45.4167,167.7167,44.46,95,100,1.77
208,East Foothills,US,2022-04-21 15:57:51,37.3811,-121.8175,57.85,82,100,10.0
209,Samarai,PG,2022-04-21 15:57:51,-10.6167,150.6667,82.26,75,86,14.61
210,Aswan,EG,2022-04-21 15:57:51,24.0934,32.907,94.3,7,0,9.22
211,Andilamena,MG,2022-04-21 15:57:52,-17.0167,48.5833,66.02,94,100,7.7
212,Port Macquarie,AU,2022-04-21 15:57:52,-31.4333,152.9167,62.49,94,100,2.3
213,Ha Tinh,VN,2022-04-21 15:57:53,18.3333,105.9,72.27,97,32,2.89
214,Dong Hoi,VN,2022-04-21 15:57:53,17.4833,106.6,73.87,95,39,6.38
215,Skjervoy,NO,2022-04-21 15:57:53,70.0311,20.9714,44.6,86,100,23.4
216,Kholodnyy,RU,2022-04-21 15:57:54,62.7167,147.95,1.24,100,85,2.06
217,Mana,GF,2022-04-21 15:57:54,5.6592,-53.7767,78.73,87,100,5.61
218,Torbay,CA,2022-04-21 15:54:17,47.6666,-52.7314,47.88,59,40,23.02
219,Leh,IN,2022-04-21 15:57:56,34.1667,77.5833,41.63,57,100,6.38
220,Santa Maria Del Rio,MX,2022-04-21 15:57:56,21.8,-100.75,73.89,47,55,1.52
221,Loum,CM,2022-04-21 15:57:56,4.7182,9.7351,83.71,73,96,4.97
222,Dzilam Gonzalez,MX,2022-04-21 15:57:57,21.2833,-88.9333,89.17,43,93,8.12
223,Yar-Sale,RU,2022-04-21 15:57:57,66.8333,70.8333,11.41,92,100,24.09
224,Tamasane,BW,2022-04-21 15:57:58,-22.4184,27.4013,62.71,80,98,6.24
225,Berbera,SO,2022-04-21 15:57:58,10.4396,45.0143,84.13,73,37,11.81
226,Vao,NC,2022-04-21 15:57:58,-22.6667,167.4833,73.99,59,1,3.6
227,Gouyave,GD,2022-04-21 15:57:18,12.1646,-61.7296,83.17,70,40,20.71
228,Port Lincoln,AU,2022-04-21 15:57:59,-34.7333,135.8667,60.4,71,95,14.85
229,Namibe,AO,2022-04-21 15:57:59,-15.1961,12.1522,75.27,78,99,15.93
230,Bandarbeyla,SO,2022-04-21 15:58:00,9.4942,50.8122,82.89,72,60,13.02
231,Carnarvon,AU,2022-04-21 15:56:27,-24.8667,113.6333,69.87,83,82,5.75
